GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
alerts,com.safetynet.alerts.controller,FireController,0,19,0,0,0,6,0,3,0,3
alerts,com.safetynet.alerts.controller,PersonInfoController,0,21,0,0,0,6,0,3,0,3
alerts,com.safetynet.alerts.controller,PersonController,0,87,0,0,0,25,0,6,0,6
alerts,com.safetynet.alerts.controller,FloodController,0,19,0,0,0,6,0,3,0,3
alerts,com.safetynet.alerts.controller,MedicalRecordController,0,84,0,0,0,24,0,6,0,6
alerts,com.safetynet.alerts.controller,ChildAlertController,0,19,0,0,0,6,0,3,0,3
alerts,com.safetynet.alerts.controller,PhoneAlertController,0,19,0,0,0,6,0,3,0,3
alerts,com.safetynet.alerts.controller,FirestationController,0,92,0,0,0,26,0,6,0,6
alerts,com.safetynet.alerts.controller,CommunityEmailController,0,19,0,0,0,6,0,3,0,3
alerts,com.safetynet.alerts.configuration,HttpTraceActuatorConfiguration,0,7,0,0,0,2,0,2,0,2
alerts,com.safetynet.alerts.configuration,SwaggerConfiguration,0,15,0,0,0,6,0,2,0,2
alerts,com.safetynet.alerts.service,MedicalRecordService,0,166,0,6,0,40,0,14,0,11
alerts,com.safetynet.alerts.service,PersonService,10,529,1,29,2,126,1,34,0,20
alerts,com.safetynet.alerts.service,FirestationService,0,138,0,6,0,36,0,15,0,12
alerts,com.safetynet.alerts.util,AgeCountCalculator,0,46,1,9,0,17,1,7,0,3
alerts,com.safetynet.alerts.util,Mapping,2,455,5,39,0,127,5,31,0,14
alerts,com.safetynet.alerts.util,JsonReader,22,75,1,1,11,24,1,3,0,3
alerts,com.safetynet.alerts.exceptions,NotFoundException,0,4,0,0,0,2,0,1,0,1
alerts,com.safetynet.alerts.exceptions,AlreadyExistingException,0,4,0,0,0,2,0,1,0,1
alerts,com.safetynet.alerts,AlertsApplication,5,10,0,0,2,5,1,2,1,2
